rank,tier,job_title,company,location,salary,platform,fit_score,resume_track,status,apply_url,notes
1,Amazon,Area Manager II,Amazon.com,"Houston, TX","$70,000-$90,900",Indeed,98,A,not_applied,https://to.indeed.com/aap62x6fd9gb,"BULLSEYE. Exact role targeted in summary. Meets all basic quals: 2+ yrs Amazon FTE, bachelor's, 5 yrs perf mgmt. Led 80-100 vs preferred 20+. Apply FIRST."
2,Amazon,Site EHS Manager II,Amazon.com,"Missouri City, TX","$63,000-$94,600",Indeed,88,A,not_applied,https://to.indeed.com/aaxjm2y4cy4p,"Strong: 3+ yrs safety-adjacent via PA safety ownership + HPD incident response. Needs First Aid/CPR/AED within 3 wks of start."
3,Amazon,HR Business Partner,Amazon.com,"Houston, TX","$67,600-$118,400",Indeed,80,A,not_applied,https://to.indeed.com/aa7n4m44l8j7,"Coaching/performance mgmt of 80-100 associates + bilingual is a real HRBP edge. Higher ceiling than AM II."
4,Amazon,"IT Manager, Ops Tech Solutions (OTS)",Amazon.com,"Houston, TX","$116,800-$160,000",Indeed,78,C,not_applied,https://to.indeed.com/aavmbkgszc2f,"Rare CS-degree + Amazon-ops + IT-support combo. Stretch on scope but uniquely qualified profile."
5,Amazon,Area Maintenance Manager,Amazon.com,"Pasadena, TX","$91,800-$137,700",Indeed,68,A,not_applied,https://to.indeed.com/aas2nnhzr2r2,"Home site (Pasadena). Stretch - wants maintenance/RME depth. Apply anyway; internal familiarity helps."
6,Amazon,Senior Station Manager,Amazon.com,"Houston, TX","$135,000-$182,700",Indeed,60,A,not_applied,https://to.indeed.com/aatdxtx2qxdh,"Big stretch (2 levels up). Low odds, zero cost. Apply last in Amazon batch."
7,Amazon,"Site Leader, NASC",Amazon.com,"Humble, TX","$135,000-$182,700",Indeed,58,A,not_applied,https://to.indeed.com/aaszhjnmwzfj,"Big stretch. Same logic as #6."
8,Amazon,"Network Deployment Technician, DCC Communities",Amazon.com,"Houston, TX","$30-$54/hr",Indeed,72,C,not_applied,https://to.indeed.com/aats7skmqvpq,"Clears $28/hr floor. CS degree + IT Support Specialist background maps directly. Fast re-entry to blue badge."
9,Ops Supervisor,DC AREA SUPERVISOR,The Home Depot,"Houston, TX",Not listed,Indeed,92,B,not_applied,https://to.indeed.com/aahg2wny24wh,"Near-identical to Process Assistant. Manages 20-30 hourly; prefers 3+ yrs supervisory + WMS + bachelor's. All met."
10,Ops Supervisor,Warehouse Supervisor,C&S Wholesale Grocers,"Houston, TX","$52,966-$71,321",Indeed,90,B,not_applied,https://to.indeed.com/aa2jnp4qy9p6,"KPI set (Safety/Retention/Productivity/Budget/Quality) mirrors Amazon PA metrics exactly. 2nd shift. Freezer/perishable env."
11,Ops Supervisor,Operations Supervisor,Loomis,"Houston, TX","$64,000-$78,000",Indeed,90,C,not_applied,https://to.indeed.com/aabkn9rrgrng,"BEST NON-AMAZON FIT. Armored transport = ops leadership + security clearance mindset. HPD background is a differentiator here."
12,Ops Supervisor,Warehouse Supervisor,Keurig Dr Pepper,"North Houston, TX","$75,000-$90,000",Indeed,85,B,not_applied,https://to.indeed.com/aavchhnn2wjp,"Highest-paying straight supervisor role found. Strong comp vs. current level."
13,Ops Supervisor,Warehouse Supervisor,Deckhouse Ship Supply,"Houston, TX","$50,000-$80,000",Indeed,80,B,not_applied,https://to.indeed.com/aan2lk2t8cnb,"Maritime supply. Bilingual is a plus at Port of Houston employers."
14,Ops Supervisor,Production Supervisor,RYMCO USA,"Houston, TX","$50,000-$70,000",Indeed,76,B,not_applied,https://to.indeed.com/aax4yp7lsdlz,"Manufacturing line supervision. Amazon JD explicitly lists manufacturing as preferred adjacent industry."
15,Ops Supervisor,PT Hub Supervisor,UPS,"Houston, TX","$51,810-$71,011",Indeed,74,B,not_applied,https://to.indeed.com/aayj4qfs4x9v,"PART-TIME but strong hourly rate + benefits. Classic Amazon-PA-to-UPS lateral. Good bridge role."
16,Ops Supervisor,PT Preload Supervisor,UPS,"Baytown, TX","$54,976-$72,422",Indeed,72,B,not_applied,https://to.indeed.com/aagnrrndwvt8,"PART-TIME. Preload = early AM shift. Baytown ~35 min from League City."
17,Ops Manager,"General Manager II, Operations",DSV,"Pasadena, TX","$159,600-$170,600",Indeed,62,B,not_applied,https://to.indeed.com/aapzrmbp6xlb,"Stretch (GM level) but PASADENA - same submarket as his Amazon site. Comp is exceptional. Worth the shot."
18,Ops Manager,DC LOGISTICS MANAGER,MP NEXLEVEL LLC,"Houston, TX","$71,588-$116,286",Indeed,75,B,not_applied,https://to.indeed.com/aab6qf7qqfz7,"Clean step-up from PA to DC-level logistics mgmt."
19,Ops Manager,Warehouse/Inventory Manager,American Block,"Houston, TX","From $75,000",Indeed,73,B,not_applied,https://to.indeed.com/aaqqkyq26k8v,"Oilfield equipment. Inventory accuracy focus matches PA KPI work."
